,visitors_2024,visitors_2023,receipts_2024_rm_mil,receipts_2023_rm_mil,per_visitor_2024_rm,per_visitor_2023_rm,receipt_share_2024,visitor_share_2024
United Kingdom,390035.0,306926.0,2450.48,1880.29,6283.0,6126.0,2.5,1.1
China,3725894.0,1613312.0,20866.57,8881.23,5600.0,5505.0,21.2,10.2
Australia,447785.0,400909.0,2488.2,2114.36,5557.0,5274.0,2.5,1.2
Chinese Taipei,423117.0,311437.0,2334.84,1624.42,5518.0,5216.0,2.4,1.2
United States,304880.0,257533.0,1656.75,1308.79,5434.0,5082.0,1.7,0.8
Japan,367182.0,277559.0,1934.97,1382.73,5270.0,4982.0,2.0,1.0
South Korea,553165.0,465617.0,2901.45,2302.97,5245.0,4946.0,2.9,1.5
Germany,170712.0,137977.0,887.54,703.01,5199.0,5095.0,0.9,0.5
Pakistan,106388.0,111245.0,547.04,543.13,5142.0,4882.0,0.6,0.3
France,183872.0,132311.0,924.86,623.52,5030.0,4713.0,0.9,0.5
Russia,130998.0,129514.0,628.69,594.55,4799.0,4591.0,0.6,0.4
India,1365387.0,773221.0,6112.06,3408.61,4476.0,4408.0,6.2,3.8
Indonesia,4145127.0,3479392.0,15323.27,11875.06,3697.0,3413.0,15.6,11.4
Vietnam,366525.0,374181.0,1306.55,1299.92,3565.0,3474.0,1.3,1.0
Philippines,571533.0,461787.0,1804.38,1370.96,3157.0,2969.0,1.8,1.6
Brunei,1732119.0,1116211.0,3235.1,2099.56,1868.0,1881.0,3.3,4.8
Thailand,2268182.0,2300158.0,3993.81,3238.5,1761.0,1408.0,4.1,6.2
Singapore,18855680.0,14828553.0,27941.65,21575.31,1482.0,1455.0,28.4,51.8
Bangladesh,154596.0,153093.0,0.0,0.0,0.0,0.0,0.0,0.4
Myanmar,147133.0,102587.0,0.0,0.0,0.0,0.0,0.0,0.4
Canada,0.0,0.0,525.27,409.72,,,0.5,0.0
Netherlands,0.0,0.0,494.52,390.44,,,0.5,0.0
