"Jadual 1: Statistik Penting Pelancongan Domestik, 2018 - 2025",,,,,,,,,
"Table 1: Key Statistics of Domestic Tourism, 2018 - 2025",,,,,,,,,
,,,,,,,,,
Statistik Penting ,,2018,2019,2020,2021,2022,2023,2024,2025
Key Statistics,,,,,,,,,
,,,,,,,,,
"Perbelanjaan Pelancongan (RM juta)
Tourism Expenditure (RM million)",,92561,103183,40424,18410,64080,84932,106746,121280
"Pelawat Domestik (RM juta)
Domestic Visitors (RM million)",,82741,92638,38634,17450,59216,78676,98446,112080
"Isi Rumah yang Dilawati (RM juta)
Visited Households (RM million)",,9819,10545,1789,959,4863,6255,8299,9199
"Kadar Pertumbuhan Tahunan (%)
Annual Growth Rate (%)",,11.4,11.5,-60.8,-54.5,248.1,32.5,25.7,13.6
"Pelawat Domestik (’000)
Domestic Visitors ('000)",,221272,239120,131660,65975,171602,213743,260125,290064
"Kadar Pertumbuhan Tahunan (%)
Annual Growth Rate (%)",,7.7,8.1,-44.9,-49.9,160.1,24.6,21.7,11.5
"Perjalanan Pelancongan (’000)
Tourism Trips ('000)",,302414,332378,146990,72398,207785,241474,297853,332215
"Kadar Pertumbuhan Tahunan (%)
Annual Growth Rate (%)",,9.5,9.9,-55.8,-50.7,187.0,16.2,23.3,11.4
"Purata Bilangan Hari Menginap
Average Length of Stay",,2.44,2.52,1.93,2.19,2.55,2.45,2.49,2.56
"Kadar Pertumbuhan Tahunan (%)
Annual Growth Rate (%)",,4.0,3.1,-23.4,13.2,16.6,-4.0,1.9,2.5
"Purata Perbelanjaan per Perjalanan (RM)                                             
Average Expenditure per Trip (RM)",,306_ ,310,275,254,308,351,358,365
"Kadar Pertumbuhan Tahunan (%)
Annual Growth Rate (%)",,1.7,1.3,-11.3,-7.5,21.3,14.0,1.9,1.9
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,





























