
,TOURIST ARRIVALS INTO MALAYSIA BY QUARTERLY (REGIONAL)

YEAR,REGION,Quarter 1,Quarter 2,Quarter 3 ,Quarter 4,TOTAL
2015,ASIA,_(* 5864167_),_(* 5585678_),_(* 5891517_),_(* 6118251_),_(* 23459613_)
2015,AMERICAS,_(* 99798_),_(* 86824_),_(* 86849_),_(* 86659_),_(* 360130_)
2015,OCEANIA,_(* 136251_),_(* 124982_),_(* 151543_),_(* 138927_),_(* 551703_)
2015,EUROPE,_(* 349019_),_(* 259023_),_(* 316694_),_(* 291817_),_(* 1216553_)
2015,AFRICA,_(* 31864_),_(* 27106_),_(* 35056_),_(* 33956_),_(* 127982_)
2015,OTHERS,_(* 1597_),_(* 991_),_(* 1265_),_(* 1417_),_(* 5270_)
2016,ASIA,_(* 6102757_),_(* 5955759_),_(* 6173658_),_(* 6542000_),_(* 24774174_)
2016,AMERICAS,_(* 93361_),_(* 76293_),_(* 76115_),_(* 76565_),_(* 322334_)
2016,OCEANIA,_(* 111114_),_(* 94717_),_(* 112996_),_(* 116406_),_(* 435233_)
2016,EUROPE,_(* 326864_),_(* 220629_),_(* 303258_),_(* 261148_),_(* 1111899_)
2016,AFRICA,_(* 30625_),_(* 18827_),_(* 30251_),_(* 30240_),_(* 109943_)
2016,OTHERS,_(* 1259_),_(* 570_),_(* 877_),_(* 1103_),_(* 3809_)
2017,ASIA,_(* 6117986_),_(* 5891957_),_(* 5968011_),_(* 6053908_),_(* 24031862_)
2017,AMERICAS,_(* 83559_),_(* 73741_),_(* 75191_),_(* 76076_),_(* 308567_)
2017,OCEANIA,_(* 101833_),_(* 94612_),_(* 105614_),_(* 109611_),_(* 411670_)
2017,EUROPE,_(* 303778_),_(* 237954_),_(* 307086_),_(* 243975_),_(* 1092793_)
2017,AFRICA,_(* 24313_),_(* 20837_),_(* 28468_),_(* 28577_),_(* 102195_)
2017,OTHERS,_(* 200_),_(* 296_),_(* 499_),_(* 377_),_(* 1372_)
2018,ASIA,_(* 5936223_),_(* 5743345_),_(* 6079264_),_(* 5942255_),_(* 23701087_)
2018,AMERICAS,_(* 107344_),_(* 94584_),_(* 93970_),_(* 93899_),_(* 389797_)
2018,OCEANIA,_(* 102639_),_(* 91570_),_(* 105806_),_(* 108422_),_(* 408437_)
2018,EUROPE,_(* 336460_),_(* 249560_),_(* 329832_),_(* 262096_),_(* 1177948_)
2018,AFRICA,_(* 36818_),_(* 30537_),_(* 46141_),_(* 38895_),_(* 152391_)
2018,OTHERS,_(* 734_),_(* 554_),_(* 734_),_(* 672_),_(* 2694_)
2019,ASIA,_(* 6121036_),_(* 6157867_),_(* 6151130_),_(* 5491424_),_(* 23921457_)
2019,AMERICAS,_(* 108651_),_(* 100361_),_(* 102033_),_(* 95677_),_(* 406722_)
2019,OCEANIA,_(* 102336_),_(* 102955_),_(* 108929_),_(* 111277_),_(* 425497_)
2019,EUROPE,_(* 327994_),_(* 262835_),_(* 338994_),_(* 251481_),_(* 1181304_)
2019,AFRICA,_(* 35644_),_(* 33827_),_(* 52809_),_(* 41061_),_(* 163341_)
2019,OTHERS,_(* 569_),_(* 500_),_(* 733_),_(* 661_),_(* 2463_)
